Name,Profile_URL,Surname,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws
JJ,http://ufcstats.com/fighter-details/6fd953151d981979,Aldrich,,"5' 5""",125 lbs.,"67.0""",Southpaw,14,7,0
Irina,http://ufcstats.com/fighter-details/103e2e33a60683e1,Alekseeva,Russian Ronda,"5' 8""",135 lbs.,"67.0""",Orthodox,5,2,0
Talita,http://ufcstats.com/fighter-details/d35298b6df168456,Alencar,Problem Child,"5' 1""",115 lbs.,"58.0""",Orthodox,6,1,1
Jim,http://ufcstats.com/fighter-details/fe5a9547479396ab,Alers,The Beast,"5' 9""",145 lbs.,"71.0""",Orthodox,13,3,0
John,http://ufcstats.com/fighter-details/7a15f3694c5cbc02,Alessio,The Natural,"5' 10""",155 lbs.,"72.0""",Orthodox,35,17,0
Houston,http://ufcstats.com/fighter-details/0541480fbf719d86,Alexander,The Assassin,"6' 0""",205 lbs.,"72.0""",Orthodox,17,15,1
Kenneth,http://ufcstats.com/fighter-details/8fd76e1b49c00ae2,Alexander,The Machine,"5' 9""",155 lbs.,--,Orthodox,7,6,0
Lucas,http://ufcstats.com/fighter-details/11583163f45c7b31,Alexander,The Lion,"5' 11""",145 lbs.,"73.0""",Orthodox,8,5,0
Marcio,http://ufcstats.com/fighter-details/d53482bef23235ba,Alexandre Junior,Lyoto,"6' 0""",185 lbs.,"75.0""",Southpaw,17,4,0
Olaf,http://ufcstats.com/fighter-details/b757c73f443d4fca,Alfonso,,"6' 2""",170 lbs.,--,Orthodox,8,12,0
Pablo,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1,Alfonso,The Hurricane,"5' 8""",145 lbs.,--,,9,7,0
Levi,http://ufcstats.com/fighter-details/41b34b7f11f6d085,Alford,,--,--,--,,1,7,0
Bill,http://ufcstats.com/fighter-details/9abc648e76c4493a,Algeo,Senor Perfecto,"6' 0""",145 lbs.,"73.0""",Switch,18,9,0
Royce,http://ufcstats.com/fighter-details/669a3cb6e394f515,Alger,,"5' 10""",199 lbs.,--,Orthodox,3,2,0
Amir,http://ufcstats.com/fighter-details/e17770faae3ca54c,Aliakbari,,"6' 3""",250 lbs.,--,,10,1,0
Sultan,http://ufcstats.com/fighter-details/e70de1859b7ee78e,Aliev,,"5' 11""",170 lbs.,"74.0""",Orthodox,15,3,0
Nurullo,http://ufcstats.com/fighter-details/ca28cdf526d6b6e9,Aliev,Tajik Eagle,"5' 10""",155 lbs.,"72.0""",Orthodox,10,0,0
Ikram,http://ufcstats.com/fighter-details/b07aed698fba8624,Aliskerov,,"6' 0""",185 lbs.,"76.0""",Southpaw,16,2,0
Leon,http://ufcstats.com/fighter-details/6db394bf6c3b017c,Aliu,The Albanian Lion,"6' 0""",185 lbs.,"74.0""",Orthodox,10,2,0
John,http://ufcstats.com/fighter-details/6ebe96a116e79e52,Allan,,"6' 1""",205 lbs.,"75.0""",Orthodox,13,7,0
George,http://ufcstats.com/fighter-details/1e13936d708bcff7,Allen,,"6' 2""",205 lbs.,--,Open Stance,13,19,2
Arnold,http://ufcstats.com/fighter-details/040a74bb0a465c54,Allen,Almighty,"5' 8""",145 lbs.,"70.0""",Southpaw,20,3,0
Brendan,http://ufcstats.com/fighter-details/2f181c0467965b98,Allen,All In,"6' 2""",185 lbs.,"75.0""",Orthodox,24,7,0
Daniel,http://ufcstats.com/fighter-details/adf9a901308fb8e3,Allen,,"6' 0""",155 lbs.,"75.0""",Southpaw,5,0,0
Ben,http://ufcstats.com/fighter-details/c4fe2e9a06ea5bcb,Alloway,Blanco,"5' 11""",170 lbs.,"76.0""",Orthodox,18,8,0
Asu,http://ufcstats.com/fighter-details/8d3273573b85be09,Almabayev,Zulfikar,"5' 4""",125 lbs.,"65.0""",Orthodox,21,3,0
Bekzat,http://ufcstats.com/fighter-details/a4dc0f2b95df4cc1,Almakhan,The Turan Warrior,"5' 7""",135 lbs.,"68.0""",Orthodox,11,2,0
John Dave,http://ufcstats.com/fighter-details/088aa1b19b2dc14a,Almanza,The Striker,"5' 7""",125 lbs.,"67.0""",Southpaw,6,1,0
Ricardo,http://ufcstats.com/fighter-details/91186547a7f3f758,Almeida,Big Dog,"6' 0""",170 lbs.,"74.0""",Orthodox,13,5,0
Magno,http://ufcstats.com/fighter-details/d615d6a10a4704cd,Almeida,,"6' 0""",155 lbs.,--,,10,3,0
Thomas,http://ufcstats.com/fighter-details/2b074403b7c6cdb4,Almeida,Thominhas,"5' 7""",145 lbs.,"70.0""",Southpaw,22,5,0
Ericka,http://ufcstats.com/fighter-details/67a992d4cff22466,Almeida,,"5' 6""",115 lbs.,--,Orthodox,7,3,0
Estefani,http://ufcstats.com/fighter-details/f16ddfa31236efed,Almeida,,"5' 4""",125 lbs.,--,Orthodox,7,3,0
Jailton,http://ufcstats.com/fighter-details/41e83a89929d1327,Almeida,Malhadinho,"6' 3""",205 lbs.,"79.0""",Orthodox,22,3,0
Lucas,http://ufcstats.com/fighter-details/710f0f8c5d5c9d41,Almeida,,"5' 11""",145 lbs.,"71.0""",Orthodox,15,4,0
